"h_benchmark_fondos","j_link_cnbv","b_clas_cnbv","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","d_adquiriente","e_cat_cnbv","k_link_morningstar","g_fecha_inicio","f_cat_fondos"
"70% MSCI All Country World, 30% VLMR_MEX_CETES_28D","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZUH&SecurityToken=F00000VZUH%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=AXESGLOFF1.MX","AXESGLO FF1",,"Fondo de fondos","RV Global","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZUH","19/05/2015","-"
"70% MSCI All Country World, 30% VLMR_MEX_CETES_28D","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZUF&SecurityToken=F00000VZUF%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=AXESGLOF3.MX","AXESGLO F3",,"Personas físicas","RV Global","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZUF","24/04/2015","-"
"70% MSCI All Country World, 30% VLMR_MEX_CETES_28D","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZUK&SecurityToken=F00000VZUK%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=AXESGLOF2.MX","AXESGLO F2",,"Personas físicas","RV Global","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZUK","15/05/2015","-"
"70% MSCI All Country World, 30% VLMR_MEX_CETES_28D","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZUC&SecurityToken=F00000VZUC%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=AXESGLOF1.MX","AXESGLO F1",,"Personas físicas","RV Global","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZUC","04/05/2015","-"
"70% MSCI All Country World, 30% VLMR_MEX_CETES_28D","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZUA&SecurityToken=F00000VZUA%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=AXESGLOA.MX","AXESGLO A",,"-","RV Global","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZUA","22/04/2015","-"
"S&P Valmer MEX Tasa Variable Gub 12M","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000005N3P&SecurityToken=F000005N3P%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=AXESMPF2.MX","AXESMP F2",,"Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000005N3P","06/10/2000","Deuda"
"S&P Valmer MEX Tasa Variable Gub 12M","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000000SX9&SecurityToken=F000000SX9%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=AXESMPF1.MX","AXESMP F1",,"Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000000SX9","01/10/2004","Deuda"
"S&P Valmer MEX Tasa Variable Gub 12M","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000W58Z&SecurityToken=F00000W58Z%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=AXESMPE3.MX","AXESMP E3",,"No contribuyentes","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000W58Z","02/07/2015","-"
"S&P Valmer MEX Tasa Variable Gub 12M","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VXW3&SecurityToken=F00000VXW3%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=AXESMPE2.MX","AXESMP E2",,"No contribuyentes","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VXW3","22/05/2015","-"
"STOXX 50","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZUG&SecurityToken=F00000VZUG%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=AXESEDMM1.MX","AXESEDM M1",,"Personas morales","Otros","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZUG","19/05/2015","-"
"20% VLMR_MEX_CETES_28D, 80% BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZU1&SecurityToken=F00000VZU1%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=AXESBMVF1.MX","AXESBMV F1",,"Personas físicas","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZU1","28/04/2015","-"
"S&P Valmer MEX FGUBER","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001WEH&SecurityToken=F000001WEH%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ALTERNAE.MX","ALTERNA E",,"No contribuyentes","Deuda Flexible","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001WEH","09/11/2007","Deuda"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001WEN&SecurityToken=F000001WEN%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=AFIRVISBM.MX","AFIRVIS BM",,"Personas morales","Deuda Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001WEN","05/02/2007","Deuda"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000004XC&SecurityToken=F0000004XC%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=AFIRMESD.MX","AFIRMES D",,"Personas físicas","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000004XC","01/06/2004","Deuda"
"BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W9N&SecurityToken=F000001W9N%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Mercado de dinero","https://es-us.finanzas.yahoo.com/q/hp?s=AFIRCORB1.MX","AFIRCOR B1",,"Personas físicas","Otros","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W9N","06/02/2008","Renta Variable"
