"h_benchmark_fondos","j_link_cnbv","b_clas_cnbv","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","d_adquiriente","e_cat_cnbv","k_link_morningstar","g_fecha_inicio","f_cat_fondos"
"BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000019ZB&SecurityToken=F0000019ZB%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=PRINRVAFB.MX","PRINRVA FB",,"Personas físicas","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000019ZB","12/10/2007","Renta Variable"
"BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000019ZC&SecurityToken=F0000019ZC%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=PRINRVAFA.MX","PRINRVA FA",,"Personas físicas","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000019ZC","12/10/2007","Renta Variable"
"BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000N9W2&SecurityToken=F00000N9W2%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=PRINRVAD.MX","PRINRVA D",,"Personas físicas","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000N9W2","17/10/2011","Renta Variable"
"N/A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000H05K&SecurityToken=F00000H05K%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=PRINMASXA.MX","PRINMAS XA",,"No contribuyentes","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000H05K","16/03/2010","Deuda"
"N/A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VTTM&SecurityToken=F00000VTTM%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=PRINMASX3.MX","PRINMAS X3",,"No contribuyentes","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VTTM","07/04/2015","-"
"N/A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000040HW&SecurityToken=F0000040HW%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=PRINMASX2.MX","PRINMAS X2",,"No contribuyentes","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000040HW","17/08/2009","Deuda"
"N/A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000040HV&SecurityToken=F0000040HV%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=PRINMASX1.MX","PRINMAS X1",,"No contribuyentes","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000040HV","17/08/2009","Deuda"
"N/A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000GY7T&SecurityToken=F00000GY7T%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=PRINMASMA.MX","PRINMAS MA",,"Personas morales","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000GY7T","09/03/2010","Deuda"
"BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000LVXJ&SecurityToken=F00000LVXJ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=PRINRVAXC.MX","PRINRVA XC",,"No contribuyentes","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000LVXJ","07/12/2010","Renta Variable"
"N/A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000003Z4R&SecurityToken=F000003Z4R%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=PRINMASF3.MX","PRINMAS F3",,"Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000003Z4R","31/07/2009","Deuda"
