"h_benchmark_fondos","j_link_cnbv","b_clas_cnbv","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","d_adquiriente","e_cat_cnbv","k_link_morningstar","g_fecha_inicio","f_cat_fondos"
"33% MSCI Brasil, 34% BMV IPC PR MXN, 11% FTSE Chile TR USD, 11% FTSE Colombia TR USD, 11% MSCI Peru GR USD","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000MS47&SecurityToken=F00000MS47%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BNMLATB1D.MX","BNMLAT B1-D","https://es-us.finanzas.yahoo.com/q/hp?s=BNMLATB1-D.MX","Personas físicas","RV Mercados Emergentes","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000MS47","08/08/2011","Renta Variable"
"BMV Ipc Mid Cap","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000NC9D&SecurityToken=F00000NC9D%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMEDB0E.MX","BNMMED B0-E","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMEDB0-E.MX","Personas físicas","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000NC9D","08/11/2011","Renta Variable"
"BMV Ipc Mid Cap","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VPQU&SecurityToken=F00000VPQU%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMEDA.MX","BNMMED A",,"-","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VPQU","16/06/2011","-"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000V4AA&SecurityToken=F00000V4AA%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM no contribuyente - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDM0C.MX","BNMMD M0-C","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDM0-C.MX","Personas morales","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000V4AA","15/10/2014","-"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000V4A9&SecurityToken=F00000V4A9%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM no contribuyente - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDM0B.MX","BNMMD M0-B","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDM0-B.MX","Personas morales","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000V4A9","06/11/2014","-"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZDA&SecurityToken=F000001ZDA%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM no contribuyente - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDC0D.MX","BNMMD C0-D","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDC0-D.MX","No contribuyentes","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZDA","04/12/2000","Deuda"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZDB&SecurityToken=F000001ZDB%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM no contribuyente - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDC0C.MX","BNMMD C0-C","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDC0-C.MX","No contribuyentes","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZDB","10/02/2006","Deuda"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZDC&SecurityToken=F000001ZDC%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM no contribuyente - Bancario y gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDC0B.MX","BNMMD C0-B","https://es-us.finanzas.yahoo.com/q/hp?s=BNMMDC0-B.MX","No contribuyentes","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZDC","11/02/2008","Deuda"
"BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000V4AC&SecurityToken=F00000V4AC%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPATB1B.MX","BNMPAT B1-B","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPATB1-B.MX","Personas físicas","RV Mexico","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000V4AC","24/10/2014","-"
"33% MSCI Brasil, 34% BMV IPC PR MXN, 11% FTSE Chile TR USD, 11% FTSE Colombia TR USD, 11% MSCI Peru GR USD","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000MV3A&SecurityToken=F00000MV3A%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BNMLATB1A.MX","BNMLAT B1-A","https://es-us.finanzas.yahoo.com/q/hp?s=BNMLATB1-A.MX","Personas físicas","RV Mercados Emergentes","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000MV3A","23/08/2011","Renta Variable"
"FTSE-PiPG Fix 5Yrs 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZP0&SecurityToken=F000001ZP0%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM no contribuyente - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BNMGUB3C0A.MX","BNMGUB3 C0-A","https://es-us.finanzas.yahoo.com/q/hp?s=BNMGUB3C0-A.MX","Fondo de fondos","Deuda Otros","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZP0","01/12/2005","Deuda"
"MEXCOMP_DB","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000H05H&SecurityToken=F00000H05H%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=DIVERCMB.MX","DIVER-C MB","https://es-us.finanzas.yahoo.com/q/hp?s=DIVER-CMB.MX","Personas físicas","Mixtos Conservadores","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000H05H","04/03/2010","Renta Variable"
"S&P Valmer MEX FGUBER","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000ONUO&SecurityToken=F00000ONUO%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=DCP1PV.MX","DCP-1 PV","https://es-us.finanzas.yahoo.com/q/hp?s=DCP-1PV.MX","Personas físicas","Mercado de Dinero MXN","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000ONUO","23/07/2012","Deuda"
"35% FTSE-PiP Guber 24hrs, 35% FTSE-PiPG Cetes 24hrs, 30% FTSE-PiP CORP FL<= 5Yrs 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000Q9SR&SecurityToken=F00000Q9SR%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BXMPBF1.MX","BX+MP B-F1","https://es-us.finanzas.yahoo.com/q/hp?s=BXMPB-F1.MX","Personas físicas","Deuda Flexible","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000Q9SR","17/07/2013","Deuda"
"S&P Valmer MEX BONDESD LD","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000S4N7&SecurityToken=F00000S4N7%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=BONDDIAF5.MX","BONDDIA F5",,"Personas físicas","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000S4N7","28/11/2013","Deuda"
"50% FTSE-PiPG Real 1Yr 24hrs, 50% FTSE-PiPG Real 5Yrs 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000NJJU&SecurityToken=F00000NJJU%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=BNMREALC0B.MX","BNMREAL C0-B","https://es-us.finanzas.yahoo.com/q/hp?s=BNMREALC0-B.MX","No contribuyentes","Deuda Tasa Real","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000NJJU","02/12/2011","Deuda"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000000RS3&SecurityToken=F000000RS3%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Mercado de dinero","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPLUSB1D.MX","BNMPLUS B1-D","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPLUSB1-D.MX","Personas físicas","Deuda Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000000RS3","14/05/2007","Deuda"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000000RS4&SecurityToken=F000000RS4%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Mercado de dinero","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPLUSB1C.MX","BNMPLUS B1-C","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPLUSB1-C.MX","Personas físicas","Deuda Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000000RS4","14/05/2007","Deuda"
"FTSE-PiP Cetes 28d 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000000RS5&SecurityToken=F000000RS5%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Mercado de dinero","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPLUSB1B.MX","BNMPLUS B1-B","https://es-us.finanzas.yahoo.com/q/hp?s=BNMPLUSB1-B.MX","Personas físicas","Deuda Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000000RS5","14/05/2007","Deuda"
