"h_benchmark_fondos","j_link_cnbv","b_clas_cnbv","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","d_adquiriente","e_cat_cnbv","k_link_morningstar","g_fecha_inicio","f_cat_fondos"
"20% S&P Valmer MEX BPA182, 20% S&P Valmer MEX BPAS, 20% S&P Valmer MEX BPAST, 2.5% S&P Valmer MEX Brem, 10% S&P Valmer MEX CETES 182D, 10% S&P Valmer MEX CETES 364D, 10% S&P Valmer MEX CETES 91D, 7.5% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W74&SecurityToken=F000001W74%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIGOBM1.MX","ACTIGOB M-1","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIGOBM-1.MX","Personas morales","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W74","03/09/2007","Deuda"
"20% S&P Valmer MEX BPA182, 20% S&P Valmer MEX BPAS, 20% S&P Valmer MEX BPAST, 2.5% S&P Valmer MEX Brem, 10% S&P Valmer MEX CETES 182D, 10% S&P Valmer MEX CETES 364D, 10% S&P Valmer MEX CETES 91D, 7.5% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000003V1M&SecurityToken=F000003V1M%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIGOBGE.MX","ACTIGOB GE",,"No contribuyentes","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000003V1M","19/05/2009","Deuda"
"15% S&P Valmer MEX BPA182, 10% S&P Valmer MEX BPAS, 10% S&P Valmer MEX BPAST, 5% S&P Valmer MEX CETES 364D, 5% S&P Valmer MEX CETES 91D, 10% S&P Valmer MEX Corporativo AAA Tasa Fija, 30% S&P Valmer MEX Corp AAA Tasa Variable, 15% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000026F2&SecurityToken=F0000026F2%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDF3.MX","ACTIMED F-3","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDF-3.MX","Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000026F2","03/10/2007","Deuda"
"15% S&P Valmer MEX BPA182, 10% S&P Valmer MEX BPAS, 10% S&P Valmer MEX BPAST, 5% S&P Valmer MEX CETES 364D, 5% S&P Valmer MEX CETES 91D, 10% S&P Valmer MEX Corporativo AAA Tasa Fija, 30% S&P Valmer MEX Corp AAA Tasa Variable, 15% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000026F3&SecurityToken=F0000026F3%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDF2.MX","ACTIMED F-2","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDF-2.MX","Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000026F3","03/10/2007","Deuda"
"15% S&P Valmer MEX BPA182, 10% S&P Valmer MEX BPAS, 10% S&P Valmer MEX BPAST, 5% S&P Valmer MEX CETES 364D, 5% S&P Valmer MEX CETES 91D, 10% S&P Valmer MEX Corporativo AAA Tasa Fija, 30% S&P Valmer MEX Corp AAA Tasa Variable, 15% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000026F4&SecurityToken=F0000026F4%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDF1.MX","ACTIMED F-1","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDF-1.MX","Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000026F4","03/10/2007","Deuda"
"15% S&P Valmer MEX BPA182, 10% S&P Valmer MEX BPAS, 10% S&P Valmer MEX BPAST, 5% S&P Valmer MEX CETES 364D, 5% S&P Valmer MEX CETES 91D, 10% S&P Valmer MEX Corporativo AAA Tasa Fija, 30% S&P Valmer MEX Corp AAA Tasa Variable, 15% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZP2&SecurityToken=F000001ZP2%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDE.MX","ACTIMED E",,"No contribuyentes","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZP2","03/09/2005","Deuda"
"15% S&P Valmer MEX BPA182, 10% S&P Valmer MEX BPAS, 10% S&P Valmer MEX BPAST, 5% S&P Valmer MEX CETES 364D, 5% S&P Valmer MEX CETES 91D, 10% S&P Valmer MEX Corporativo AAA Tasa Fija, 30% S&P Valmer MEX Corp AAA Tasa Variable, 15% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZPJ&SecurityToken=F000001ZPJ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDD.MX","ACTIMED D",,"Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZPJ","03/10/2007","Deuda"
"15% S&P Valmer MEX BPA182, 10% S&P Valmer MEX BPAS, 10% S&P Valmer MEX BPAST, 5% S&P Valmer MEX CETES 364D, 5% S&P Valmer MEX CETES 91D, 10% S&P Valmer MEX Corporativo AAA Tasa Fija, 30% S&P Valmer MEX Corp AAA Tasa Variable, 15% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000005IX&SecurityToken=F0000005IX%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDB3.MX","ACTIMED B-3","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIMEDB-3.MX","Personas físicas","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000005IX","09/07/1997","Deuda"
"30% S&P Valmer MEX CETES 28D, 70% BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W48&SecurityToken=F000001W48%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=ACTINMOFF.MX","ACTINMO FF",,"Fondo de fondos","Otros","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W48","18/04/2008","Renta Variable"
"20% S&P Valmer MEX BPA182, 20% S&P Valmer MEX BPAS, 20% S&P Valmer MEX BPAST, 2.5% S&P Valmer MEX Brem, 10% S&P Valmer MEX CETES 182D, 10% S&P Valmer MEX CETES 364D, 10% S&P Valmer MEX CETES 91D, 7.5% Others","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W72&SecurityToken=F000001W72%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=ACTIGOBG.MX","ACTIGOB G",,"Personas morales","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W72","04/09/2007","Deuda"
