"h_benchmark_fondos","j_link_cnbv","b_clas_cnbv","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","d_adquiriente","e_cat_cnbv","k_link_morningstar","g_fecha_inicio","f_cat_fondos"
"30% S&P Valmer MEX UDIBonos 5A, 40% S&P Valmer MEX CEDEVIS, 30% S&P Valmer MEX FGUBER","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000S4PI&SecurityToken=F00000S4PI%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTTRII0.MX","SCOT-TR II0","https://es-us.finanzas.yahoo.com/q/hp?s=SCOT-TRII0.MX","Fondo de fondos","Deuda Tasa Real","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000S4PI","22/11/2013","Deuda"
"S&P 500 NR USD","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000004RJ&SecurityToken=F0000004RJ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTUSAL.MX","SCOTUSA L",,"Personas físicas","RV USA","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000004RJ","02/06/1997","Renta Variable"
"S&P 500 NR USD","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VPS9&SecurityToken=F00000VPS9%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTUSAII1.MX","SCOTUSA II1",,"Fondo de fondos","RV USA","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VPS9","05/02/2015","-"
"S&P 500 NR USD","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000V4BA&SecurityToken=F00000V4BA%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTUSAE.MX","SCOTUSA E",,"No contribuyentes","RV USA","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000V4BA","10/11/2014","-"
"S&P 500 NR USD","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000JP5R&SecurityToken=F00000JP5R%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTUSAAIF.MX","SCOTUSA AIF",,"Personas físicas","RV USA","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000JP5R","17/08/2010","Renta Variable"
"S&P Valmer MEX UDIBonos","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZVC&SecurityToken=F00000VZVC%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTUDIII0.MX","SCOTUDI II0",,"Fondo de fondos","Deuda Tasa Real","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZVC","05/02/2015","-"
"S&P Valmer MEX UDIBonos","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZVB&SecurityToken=F00000VZVB%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTUDIII.MX","SCOTUDI II",,"Fondo de fondos","Deuda Tasa Real","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZVB","05/02/2015","-"
"S&P Valmer MEX UDIBonos","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VZVA&SecurityToken=F00000VZVA%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTUDICU1.MX","SCOTUDI CU1",,"Personas físicas","Deuda Tasa Real","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VZVA","05/02/2015","-"
"Sin Benchmark","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000003YHP&SecurityToken=F000003YHP%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Común - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=SELECTCB1.MX","SELECTC B1",,"Personas físicas","Mixtos Conservadores","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000003YHP","06/07/2009","Renta Variable"
"30% S&P Valmer MEX UDIBonos 5A, 40% S&P Valmer MEX CEDEVIS, 30% S&P Valmer MEX FGUBER","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000T1RB&SecurityToken=F00000T1RB%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","-","https://es-us.finanzas.yahoo.com/q/hp?s=SCOTTRE.MX","SCOT-TR E","https://es-us.finanzas.yahoo.com/q/hp?s=SCOT-TRE.MX","No contribuyentes","Deuda Tasa Real","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000T1RB","21/02/2014","Deuda"
